edge_name,weight
ביִתָנ (-) טָּפְשִמ,1
תיִשאֵר (-) ְךֶרֶּד,1
םֶדֶק (-) לָעְפִמ,1
םֶדֶק (-) ץֶרֶא,1
דָּבְכִנ (-) םִּיַמ,1
שאֹר (-) רָפָע,1
שאֹר (-) לֵבֵּת,1
ןִיַע (-) םֹוהְּת,1
דָסֹומ (-) ץֶרֶא,2
לֵבֵּת (-) ץֶרֶא,1
הָזּוזְמ (-) חַתֶּפ,1
אֵצֹמ (-) םיִּיַח,1
ףַּג (-) םֹורָמ,1
ףַּג (-) תֶרֶק,1
ְךֶרֶּד (-) הָניִּב,1
הָּלִחְּת (-) הָמְכָח,1
תַעַּד (-) שֹודָק,1
הָּשִא (-) םיִּיַח,1
הָּשִא (-) תּוליִסְּכ,1
םֹורָמ (-) תֶרֶק,1
רֵבֹע (-) ְךֶרֶּד,3
